Source,Target
1009412,164421
1009412,317281
1009412,81449
1009412,3133814
1009412,119495
1009412,143264
1009412,179493
1009412,597550
1009412,1328199
1009412,3005565
1009412,3006023
1009412,349074
1009412,365262
1009412,892407
1009412,1175402
1009412,2711520
1009412,3165647
1009412,69173
1009412,263934
1009412,399944
1009412,3010918
1009412,3087929
1009412,3218835
1009412,3300262
1009412,101898
1009412,160425
1009412,825041
1009412,1741078
1009412,3028355
1009412,173940
1009412,3024297
1009412,3140184
1009412,3197903
1009412,99383
1009412,162414
1009412,318316
1009412,1035016
1009412,3006422
1009412,3112005
1009412,3113018
1009412,3165347
1009412,133221
1009412,3009965
1009412,95132
1009412,3271524
1009412,3337428
1009412,3417049
1009412,3399529
1009412,3416329
1009412,3415197
1009412,3157547
1009412,3363148
1009412,3451473
1009412,3461726
1009412,3479293
1009412,3337000
1009412,3452854
1009412,3487567
1009412,3449229
1009412,3577857
1009412,3546169
1009412,3537881
1009412,399546
1012409,164421
1012409,122203
1012409,1148918
1012409,326289
1012409,3024100
1012409,341960
1012409,3198975
1012409,3113628
1012409,165275
1012409,363297
1012409,824795
1012409,3090104
1012409,827355
1012409,939319
1012409,3048670
1012409,3052765
1012409,18206
1012409,113143
1012409,416665
1012409,831916
1012409,3169381
1012409,199206
1012409,378831
1012409,387457
1012409,30133
1012409,371795
1012409,2994702
1012409,228615
1012409,380078
1012409,3013087
1012409,3260276
1012409,110153
1012409,3074472
1012409,3352080
1012409,3366206
1012409,3350166
1012409,3330163
1012409,3499342
1012409,3002488
1012409,3492439
1012409,3555648
1012409,2633577
1012409,3153986
1012409,3583189
1012409,3536770
101898,421157
101898,3120388
101898,289234
101898,3021499
101898,3075706
101898,349074
101898,3061808
101898,3106452
101898,3184787
101898,3302301
101898,3088002
101898,135346
101898,1034403
101898,3220810
101898,122849
101898,1009412
101898,418397
101898,1058663
101898,143817
101898,3498756
101898,3416612
101898,3439257
101898,3539764
101898,106894
101898,3590597
101898,3537881
101898,399546
101898,3563110
1021864,164421
1021864,313361
1021864,399618
1021864,2992746
1021864,3056155
1021864,3055417
1021864,3299624
1021864,3258828
1021864,283657
1021864,3330163
1021864,3461726
1021864,3528441
1028880,421157
1028880,241466
1028880,3033265
1028880,3248288
1028880,3022359
1028880,831429
1028880,3048670
1028880,196805
1028880,3253121
1028880,199206
1028880,372303
1028880,1387697
1028880,30133
1028880,818458
1028880,2994702
1028880,3139119
1028880,3230061
1028880,316113
1028880,3040772
1028880,3078515
1028880,3176630
1028880,310690
1028880,3012921
1028880,3170993
1028880,3217794
1028880,3340382
1028880,3335554
1028880,3344761
1028880,3402893
1028880,601656
1028880,3499342
1028880,3463251
1028880,3283390
1028880,3591021
1028880,3577979
102904,3094304
102904,421157
102904,3078090
102904,238142
102904,963527
102904,3153132
102904,18567
102904,147420
102904,592601
102904,816184
102904,1104567
102904,1113941
102904,3134854
102904,597397
102904,945529
102904,265013
102904,3367607
102904,828881
102904,2995715
102904,3468647
102904,3520859
1029951,3094304
1029951,164421
1029951,381979
1029951,1328199
1029951,3101964
1029951,3024786
1029951,816184
1029951,3063925
1029951,619636
1029951,892947
1029951,3068915
1029951,3399237
1029951,3477853
1029951,3555648
1029951,3495598
1030407,164421
1030407,828106
1030407,349687
1030407,963404
1030407,97425
1030407,342332
1030407,3291490
1030407,371026
1030407,3011927
1030407,3157384
1030407,3163835
1030407,3001563
1030407,69173
1030407,196805
1030407,343063
1030407,825257
1030407,3074199
1030407,1775207
1030407,813023
1030407,819168
1030407,3007143
1030407,3080318
1030407,3163561
1030407,318424
1030407,3194058
1030407,3308420
1030407,3338593
1030407,3268536
1030407,3342303
1030407,3404332
1030407,951359
1030407,3364342
1030407,3420197
1030407,3427015
1030407,3462800
1030407,3439257
1030407,3453233
1030407,3457950
1030407,3502222
1030407,3520878
1030407,3508971
1030407,3510912
1030407,3517378
1030407,3603398
1030407,3525210
1033954,3094304
1033954,421157
1033954,130373
1033954,3023606
1033954,340156
1033954,3106416
1033954,2911771
1033954,162414
1033954,3304081
1033954,2992600
1033954,3084591
1033954,3316781
1033954,3429478
1033954,3524044
1034403,3094304
1034403,421157
1034403,3120388
1034403,3189054
1034403,3189062
1034403,119495
1034403,285223
1034403,3061808
1034403,3160326
1034403,3106452
1034403,3300262
1034403,3302301
1034403,101898
1034403,3094338
1034403,3102974
1034403,166825
1034403,826325
1034403,3003387
1034403,318052
1034403,318316
1034403,3287115
1034403,122849
1034403,418397
1034403,587851
1034403,1058663
1034403,3314086
1034403,3314090
1034403,3337638
1034403,3403463
1034403,3420197
1034403,3420228
1034403,3320904
1034403,3416612
1034403,3465278
1034403,3449229
1034403,106894
1034403,3531645
1034403,3492461
1034403,3547640
1034403,3509179
1034480,3094304
1034480,421157
1034480,368234
1034480,1194809
1034480,2516183
1034480,3056893
1034480,3084129
1034480,371007
1034480,1178427
1034480,3084105
1034480,74422
1034480,1141889
1034480,3003619
1034480,3010937
1034480,1181610
1034480,86728
1034480,283773
1034480,372139
1034480,3156415
1034480,3228407
1034480,1035179
1034480,3088002
1034480,99383
1034480,3314104
1034480,3409643
1034480,631718
1034480,3389298
1034480,195631
1034563,421157
1034563,3170183
1034563,2720209
1034563,812025
1034563,1714788
1034563,3019627
1034563,74422
1034563,3117252
1034563,590899
1034563,399688
1034563,399618
1034563,818895
1034563,812485
1034563,907857
1034563,1104567
1034563,3011947
1034563,3096546
1034563,2054232
1034563,3061809
1034563,3309000
1034563,3336736
1034563,3337638
1034563,3093895
1034563,3417466
1034563,3043267
1034563,3433250
1034563,3555648
1034563,3523337
1034563,3619702
1034693,421157
1034693,3254748
1034693,3072248
1034693,3138366
1034693,340156
1034693,2997809
1034693,3300304
1034693,381929
1034693,3251213
1034693,189431
1034693,208342
1034693,353276
1034693,2995715
1034693,3364157
1034693,3135608
1034693,3240233
1034693,3314104
1034693,106205
1034693,3174896
1034693,3241650
1034693,289625
1034693,3450343
1034693,3494266
1034693,3280431
1034693,3602946
1035016,164421
1035016,263563
1035016,317281
1035016,3294441
1035016,832971
1035016,81449
1035016,119495
1035016,143264
1035016,179493
1035016,597550
1035016,853844
1035016,1328199
1035016,3005565
1035016,3006023
1035016,165098
1035016,349074
1035016,363297
1035016,365262
1035016,376944
1035016,1175402
1035016,939319
1035016,2711520
1035016,3106416
1035016,3165647
1035016,3291958
1035016,69173
1035016,163291
1035016,263934
1035016,342873
1035016,399944
1035016,422045
1035016,831916
1035016,3010918
1035016,3218835
1035016,3300262
1035016,404615
1035016,1104567
1035016,1741078
1035016,3018775
1035016,3028355
1035016,3057327
1035016,30345
1035016,173940
1035016,376922
1035016,3024297
1035016,3140184
1035016,3197903
1035016,162414
1035016,318316
1035016,828226
1035016,831153
1035016,1286347
1035016,3006422
1035016,3021965
1035016,3112005
1035016,3113018
1035016,1009412
1035016,3122847
1035016,3165347
1035016,133221
1035016,3009965
1035016,95132
1035016,3271524
1035016,3310422
1035016,3353457
1035016,3417049
1035016,3399529
1035016,3416329
1035016,3415197
1035016,3261844
1035016,3157547
1035016,3363148
1035016,3451473
1035016,3468647
1035016,3461726
1035016,3479293
1035016,3486670
1035016,3337000
1035016,3452854
1035016,3487567
1035016,3449229
1035016,3577857
1035016,3559055
1035016,3548874
1035016,3504123
1035016,3537881
1035016,399546
1035016,3544884
1035016,3606025
1035179,3094304
1035179,421157
1035179,387341
1035179,1194809
1035179,2516183
1035179,3084129
1035179,371007
1035179,599020
1035179,3084105
1035179,3279548
1035179,1034480
1035179,1141889
1035179,3003619
1035179,3010937
1035179,1181610
1035179,86728
1035179,824896
1035179,94236
1035179,130266
1035179,99383
1035179,3346131
1035179,3355477
1035179,3376233
1035179,3389298
1035179,3117753
1035179,3500694
105803,3094304
105803,164421
105803,3254748
105803,2991527
105803,3138078
105803,3265401
105803,1167707
105803,3187607
105803,3060612
105803,123322
105803,399618
105803,825257
105803,938577
105803,3014466
105803,2993387
105803,3023028
105803,3070451
105803,3032920
105803,2686505
105803,3098476
105803,322153
105803,3268782
105803,3321241
105803,3305703
105803,3299624
105803,300562
105803,3355477
105803,3333958
105803,3404902
105803,3397279
105803,893266
105803,3553620
1058433,421157
1058433,597951
1058433,3072248
1058433,3114104
1058433,3124414
1058433,200024
1058433,3000304
1058433,3130526
1058433,3290321
1058433,293747
1058433,358600
1058433,3099302
1058433,3200936
1058433,1357988
1058433,3152635
1058433,3304081
1058543,3094304
1058543,421157
1058543,349687
1058543,3248288
1058543,427657
1058543,3191043
1058543,3198681
1058543,2992253
1058543,320282
1058543,365640
1058543,3213596
1058543,365693
1058543,583773
1058543,3139707
1058543,3220810
1058543,3230061
1058543,395115
1058543,322153
1058543,3304081
1058543,828881
1058543,238730
1058543,3263407
1058543,3459623
1058543,3437361
1058543,3513576
1058543,3492032
1058613,164421
1058613,3113628
1058613,3085292
1058613,3334740
1058613,3477908
1058613,3497241
1058658,3094304
1058658,421157
1058658,130373
1058658,368234
1058658,3189062
1058658,3089737
1058658,3296077
1058658,3024172
1058658,819618
1058658,3276439
1058658,122711
1058658,189431
1058658,3134854
1058658,3379179
1058658,828881
1058658,3336736
1058658,3359536
1058658,1560831
1058658,3307328
1058658,3387835
1058658,3106956
1058658,3408719
1058658,3375037
1058658,3555648
1058658,3578587
1058658,3575290
1058663,3094304
1058663,421157
1058663,3120388
1058663,285223
1058663,3061808
1058663,428598
1058663,3106452
1058663,3302301
1058663,101898
1058663,3102974
1058663,166825
1058663,270404
1058663,1034403
1058663,122849
1058663,418397
1058663,590695
1058663,3420197
1058663,3420228
1058663,3416612
1058663,106894
1058663,3531645
1058663,3492461
1058663,3547640
1058663,3537881
1058663,399546
1058663,3563110
106205,421157
106205,3249891
106205,340156
106205,3001563
106205,3300304
106205,147420
106205,422045
106205,381818
106205,405966
106205,590695
106205,3304317
106205,353276
106205,2995715
106205,3364157
106205,111761
106205,3135608
106205,3240233
106205,3286565
106205,3100740
106205,3314104
106205,3122486
106205,3174896
106205,3398684
106205,1034693
106205,3145145
106205,825034
106205,845830
106205,1560831
106205,3241650
106205,289625
106205,3342171
106205,828948
106205,112011
106205,3494266
106205,3580524
106205,3528441
106205,3603182
106443,3094304
106443,164421
106443,421157
106443,828106
106443,3051140
106443,3004568
106443,238142
106443,3054934
106443,149276
106443,963527
106443,1451736
106443,3063322
106443,3162671
106443,3021479
106443,3142945
106443,3158513
106443,18206
106443,381929
106443,1194643
106443,3041896
106443,3094967
106443,818733
106443,1387697
106443,3146805
106443,425316
106443,3050497
106443,3099302
106443,3152574
106443,3251213
